,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
79,BR,"Broadridge Financial Solutions, Inc.",138.88,+0.04,+0.03%,"267,944","625,282",15.994B,35.16
80,SSNC,"SS&C Technologies Holdings, Inc.",61.16,-0.44,-0.71%,"780,389",1.352M,15.754B,32.00
81,ZBRA,Zebra Technologies Corporation,286.03,+0.42,+0.15%,"163,777","323,080",15.257B,31.43
82,ZI,ZoomInfo Technologies Inc.,38.88,-0.83,-2.09%,1.331M,3.469M,15.134B,N/A
83,QRVO,"Qorvo, Inc.",131.68,-0.32,-0.24%,"716,977",1.377M,15.043B,39.81
84,TER,"Teradyne, Inc.",90.06,+0.08,+0.09%,1.315M,2.138M,14.953B,26.06
85,JKHY,"Jack Henry & Associates, Inc.",194.36,+2.38,+1.24%,"620,428","517,661",14.891B,50.44
86,WIX,Wix.com Ltd.,277.68,-0.79,-0.28%,"630,631","898,068",15.305B,N/A
87,NICE,NICE Ltd.,220.37,-0.29,-0.13%,"77,390","245,512",13.747B,72.59
88,GDDY,GoDaddy Inc.,80.72,+0.34,+0.42%,1.316M,1.671M,13.556B,N/A
89,NLOK,NortonLifeLock Inc.,22.92,-0.05,-0.22%,5.764M,6.474M,13.546B,N/A
90,TYL,"Tyler Technologies, Inc.",335.57,-2.73,-0.81%,"177,081","480,822",13.504B,72.97
91,LDOS,"Leidos Holdings, Inc.",94.72,+0.33,+0.35%,"596,722",1.086M,13.469B,22.39
92,STNE,StoneCo Ltd.,48.21,-0.80,-1.63%,4.196M,3.782M,13.366B,256.44
93,PAGS,PagSeguro Digital Ltd.,39.55,-0.57,-1.42%,"918,606",1.84M,12.97B,56.82
94,HUBS,"HubSpot, Inc.",278.81,+3.19,+1.16%,"913,588","584,261",12.704B,N/A
95,TRMB,Trimble Inc.,50.38,+0.32,+0.64%,"986,168",1.155M,12.606B,26.32
96,FICO,Fair Isaac Corporation,429.67,-5.13,-1.18%,"134,074","265,614",12.46B,55.66
